iter	Passed	Remaining
0	38	7807
1	76	7678
2	104	6992
3	142	7149
4	166	6612
5	195	6467
6	246	6944
7	284	6974
8	329	7134
9	360	7002
10	398	6993
11	432	6925
12	467	6863
13	508	6899
14	546	6886
15	578	6800
16	619	6817
17	663	6851
18	691	6736
19	742	6829
20	789	6880
21	832	6889
22	856	6744
23	889	6672
24	923	6615
25	943	6460
26	981	6431
27	1006	6326
28	1031	6224
29	1060	6148
30	1086	6061
31	1108	5956
32	1141	5914
33	1165	5825
34	1191	5755
35	1216	5675
36	1247	5628
37	1267	5537
38	1290	5459
39	1306	5355
40	1330	5289
41	1361	5250
42	1390	5207
43	1395	5073
44	1415	5001
45	1463	5027
46	1502	5018
47	1543	5016
48	1568	4961
49	1605	4945
50	1633	4901
51	1664	4864
52	1727	4921
53	1761	4894
54	1785	4837
55	1812	4789
56	1843	4754
57	1870	4709
58	1896	4660
59	1942	4661
60	1964	4604
61	2004	4590
62	2029	4541
63	2049	4484
64	2071	4429
65	2104	4401
66	2127	4351
67	2155	4310
68	2174	4254
69	2204	4220
70	2247	4211
71	2262	4147
72	2280	4092
73	2306	4051
74	2324	3997
75	2346	3952
76	2369	3908
77	2399	3876
78	2422	3832
79	2443	3787
80	2460	3736
81	2491	3707
82	2523	3678
83	2551	3644
84	2572	3601
85	2590	3554
86	2623	3528
87	2637	3477
88	2661	3439
89	2681	3396
90	2696	3348
91	2718	3309
92	2734	3263
93	2749	3217
94	2769	3178
95	2795	3145
96	2812	3102
97	2829	3060
98	2856	3029
99	2880	2996
100	2898	2955
101	2912	2912
102	2926	2869
103	2936	2823
104	2952	2783
105	2962	2739
106	2979	2700
107	2990	2658
108	3005	2619
109	3020	2581
110	3044	2551
111	3058	2512
112	3071	2473
113	3093	2442
114	3098	2398
115	3116	2364
116	3130	2328
117	3147	2293
118	3162	2258
119	3182	2227
120	3199	2194
121	3215	2161
122	3230	2127
123	3246	2094
124	3260	2060
125	3274	2027
126	3286	1992
127	3300	1959
128	3313	1926
129	3328	1894
130	3341	1862
131	3355	1830
132	3366	1797
133	3371	1761
134	3380	1727
135	3384	1692
136	3394	1660
137	3408	1630
138	3421	1599
139	3432	1569
140	3443	1538
141	3457	1509
142	3471	1480
143	3484	1451
144	3496	1422
145	3505	1392
146	3518	1364
147	3527	1334
148	3540	1306
149	3553	1279
150	3566	1251
151	3569	1221
152	3585	1195
153	3598	1168
154	3611	1141
155	3615	1112
156	3625	1085
157	3637	1058
158	3651	1033
159	3665	1008
160	3679	982
161	3690	956
162	3700	930
163	3718	906
164	3729	881
165	3739	855
166	3752	831
167	3766	807
168	3780	782
169	3791	758
170	3802	733
171	3818	710
172	3832	686
173	3845	663
174	3858	639
175	3862	614
176	3876	591
177	3886	567
178	3899	544
179	3911	521
180	3918	497
181	3932	475
182	3945	452
183	3948	429
184	3963	407
185	3976	384
186	3989	362
187	4003	340
188	4021	319
189	4039	297
190	4052	275
191	4063	253
192	4076	232
193	4088	210
194	4097	189
195	4109	167
196	4112	146
197	4123	124
198	4135	103
199	4145	82
200	4155	62
201	4165	41
202	4175	20
203	4185	0
12	3745
196	9467	3700
197	9509	3650
198	9548	3598
199	9596	3550
200	9631	3498
201	9679	3450
202	9720	3399
203	9785	3357
204	9853	3316
205	9915	3273
206	9972	3227
207	10007	3175
208	10053	3126
209	10085	3073
210	10115	3020
211	10119	2959
212	10161	2910
213	10196	2858
214	10234	2808
215	10282	2761
216	10311	2708
217	10355	2660
218	10384	2608
219	10435	2561
220	10483	2514
221	10520	2464
222	10560	2415
223	10612	2368
224	10648	2319
225	10690	2270
226	10728	2221
227	10778	2174
228	10817	2125
229	10858	2077
230	10881	2025
231	10917	1976
232	10957	1928
233	11003	1880
234	11044	1832
235	11085	1784
236	11128	1737
237	11165	1688
238	11210	1641
239	11251	1593
240	11283	1545
241	11323	1497
242	11351	1448
243	11390	1400
244	11435	1353
245	11473	1305
246	11512	1258
247	11547	1210
248	11576	1162
249	11607	1114
250	11639	1066
251	11677	1019
252	11702	971
253	11737	924
254	11775	877
255	11811	830
256	11841	783
257	11880	736
258	11910	689
259	11938	642
260	11970	596
261	11992	549
262	12036	503
263	12064	456
264	12093	410
265	12116	364
266	12144	318
267	12174	272
268	12198	226
269	12231	181
270	12260	135
271	12288	90
272	12317	45
273	12345	0
7	148
271	13433	98
272	13462	49
273	13491	0
